company,summary,title
"General Dynamics Mission Systems, Inc","Fully proficient ability to use the appropriate standards, processes, procedures, and tools throughout the , development life cycle to support the…",Software Engineer
Raytheon Missiles & Defense,"Previous work experience developing in an object-oriented , environment.,Follows or recommends changes to department processes and procedures and reviews…","HWIL RF, Software Engineer II"
Cirrus Logic,"BS in Computer or Electrical Engineering or similar degree and 5+ years of proven experience in , and test development for algorithmic technology,…",Embedded Software Test Lead
Merz North America Inc,"7+ years of systems and , development.,Previous experience with Class II/B , development.,Software test and release strategies and execution of…",Sr. Systems and Software Engineer
Allied Packaging Corporation,"Individual must have experience related to the job or educational training in related field.,Must be able to communicate effectively, get and give information…",C# Programmer
MUFG,"Experience within a high integrity, and/or regulated environment (government, healthcare, financial sectors, etc.).,L3 support for systems worked on.","Sr Software Engineer, Vice President"
Garmin,"In addition, Garmin’s financial benefits include a generous 401K retirement plan that provides 5% of pay base contribution plus a match of 75 cents for every…","Software Engineering Team Leader - Chandler, AZ"
Cognizant Technology Solutions,"Responsible for design and development of customized , applications.,Net Developer (Mid-Level) for our.,On experience in Microsoft NET Cnet VBnetASPnet.",.Net Developer (Mid-Level)
Leidos,"Designs, implements, and integrates , applications or performs , engineering tasks.,Provides specific input to the , components of system…",Kubernetes and Docker Engineer
Fox Corporation,"Implement security and governance policies as they relate to cloud infrastructure.,Build out shared cloud infrastructure services with a high degree of…",Cloud Engineer - Fox Technology
Silicon Valley Bank,Manage COUPA support and work with various teams to provide day to day support and trouble shoot production issues.,Sr. Software Engineer - Coupa
Raytheon Missiles & Defense,"Security Clearance as of day one of employment; or the ability to get a security clearance.,Professional engineering experience developing requirements for…",Sr Software Engineer I - ReEmpower Program
Nikola Motor Company,"We’re currently on the lookout for a Senior Embedded Systems , , to own the , Development Life cycle (SDLC) activities of embedded real…",Senior Embedded Systems Software Engineer
Areté,"Our Tucson, AZ office has an immediate opening for a Senior ,, , , with experience developing maintainable, high performance embedded…","Engineer, Software"
Stanford Technology Partners,"Use common , engineering tools such as PL/SQL and Oracle programming languages to develop software.",Oracle Developer
Maricopa Community Colleges,"D. Experience performing hands-on QA testing in a , development process.,High School Diploma or GED and two (2) years of technical or technical support…",Software Developer Specialist (Short Term) (2 Openings)
General Dynamics Information Technology,"Collaborates with hardware , on machine characteristics that affect , systems and works with them to resolve incompatibilities working closely…",Web/Software Developer
GoDaddy,"Knowledge in Reverse , malware and , reversing.,Knowledge of big data and deep learning technology.,Solve end-to-end problems.",Principal Software Engineer - Security
Maricopa Community Colleges,10% - Provides mentoring and assistance to other programmers; maintains a pulse on the latest trends and emerging technologies on the web and their application…,Software Developer Senior (One Year Only)
Geologics Corporation,"Be a clear and enthusiastic communicator to customers, users, and project teams to define, analyze, and meet project goals.,Applicant must be a US Citizen.",Senior Software Engineer
Lighthouse,"Involvement in all phases of , development lifecycle.,This will entail maintaining our internal cloud platforms (K8S and PCF), designing and implementing…",DevOps Engineer III
Alliance Defending Freedom,Contribute to recommendations of design approaches and assist in developing product enhancements (both functional and technical) that satisfy customer contract…,Software Developer II
Silicon Valley Bank,"Worked on Agile projects and has complete knowledge of day to day Agile routines.,The role will collaborate with other , ,, tech leads, product…",Sr. Software Engineer - Salesforce
Deckers Brands,"From generous discounts to community-based programs, we offer a variety of unique extras for every lifestyle.,Developing responsive web pages, content templates…",UI Developer
ManTech International Corporation,"Must be able to provide , development experience, functional and empirical analysis related to the design, development, and implementation of software…","DCGS-A Software Engineer, Senior"
Universal Electronics,This would require deep understanding of UEI’s core technologies as well as technology trends in data mining & cloud services.,Senior Software Engineer-Cloud/.NET
Raytheon Missiles & Defense,"Professional engineering experience developing requirements for , products.,Professional engineering experience utilizing integrated development…",Principal Software Engineer
"Axosoft, LLC.","Core Network Administration: A great understanding of networking and network administration, including knowledge of switches, routers, firewalls and other…",Site Reliability Engineer
Northrop Grumman,"The successful candidate for this position will be responsible for the design, implementation, and test of embedded flight ,, device drivers, and test…",Principal Engineer Software
University of Arizona,"Expertise with object oriented design principles.,Ability to meet deadlines and manage multiple dynamic priorities.,Department Andrew Weil Ctr Intgrtv Med.",Applications Development Programmer Analyst I
"Best Western International, Inc.","Assists management by providing technical support and day-to-day work direction to technical team.,Sound technical know-how to meet job standards.",Dev Ops Support
Eclipse Automation,"Reporting to the Controls Engineering Manager, the Controls , Designer will contribute to machine concepts, design of control ,, integration of…",Controls Software Designer
Nikola Motor Company,"Your duties: architecture definition, design, simulation, PCB layout, V&V and vehicle system requirements in order to meet functionality, safety, and…",Electrical Engineer Infotainment - ADAS
Silicon Valley Bank,"5-7 years of , Engineering experience.,Manage code versions in source control and coordinate changes across enterprise team.",QA Engineer - API Platform
Tucson Electric Power,"Strong Interpersonal skills with a great collaborator ability to work with all levels of management and workforce.,Provides after hours on-call support.","Contact Center Engineer II, III, Senior"
The CORE Institute,"Knowledge of the , development life cycle.,Knowledge of positive and negative testing for , development.,NET, ASP.NET, MS Visual Studio.",Sr. Software Engineer
Microchip Technology,"Experience working on a , development team using issue tracking tools such as JIRA and source control management such as Git.",Engineer II-Software Dev
Edgenuity,"The SRE is a great fit for an organized, analytical, problem solver who designs, develops, and maintains , and tools to support building, deploying, and…",Site Reliability Engineer
Mondo,"Specifically with native react mobile apps that are the complementary version fo the app that was built in .net/JS.,Push the app to appstore.",React Native Mobile Engineer
Nikola Motor Company,"Experience with git version control, Makefiles, and debugging tools.,In this position, you will leverage open-source tools to solve complex problems with…",Senior Software Engineer (Maps)
Cognizant Technology Solutions,"This is a client-facing role & the candidate will have.,Regular interactions with various client managers.,Support upgrades in OpenShift platform and perform…",Site Reliability Engineer (OpenShift)
"World Wide Technology, Inc.","WWT Application Services, formerly Asynchrony Labs, identifies business needs - then designs, develops, and integrates partnered products and custom software…",Delivery Engineer
Pashtek,"Strong understanding of , development methodologies and principles to perform assigned development tasks using established standards and procedures…",.NET DEVELOPER
Maricopa Community Colleges,"30% - Designs and implements AWS cloud infrastructure solutions with emphasis on infrastructure provisioning, infrastructure management, systems monitoring,…",AWS Cloud Engineer
US Department of the Army,"Serves as Subject Matter Expert/Advisor, provides overall systems engineering/computer science and technical integration for the planning, development,…",Interdisciplinary (Computer Engineer/Electronics Engineer/Computer Scientist)
Fox Corporation,"Implement security and governance policies as they relate to cloud infrastructure.,Build out shared cloud infrastructure services with a high degree of…",Cloud Engineer (Sports/FBC) - Fox Technology
Amazon.com Services LLC,"Proficiency with object-oriented design, data structures, and algorithms.,Experience building extremely high volume and highly scalable micro services, data…",Software Development Manager
State Farm,"Participates in the full , development cycle including coding, testing, implementation, support and sunset.,Familiar with VS code IDE.",Experienced Software Developer-Web Development
Infosys Limited,"Experience in , development life cycle.,Will also consider three years of progressive experience in the specialty in lieu of every year of education.",React Developer
Fasetto,"Previous experience as a , developer preferred.,Must be familiar with all policies, procedures and technical issues related to , programming.",Software Development Manager
RTSync,"Subject matter familiarity with space, air, sea, or land combat principles is very valuable.,Operational experience in the armed forces is a big plus.",Web Developer
Silicon Valley Bank,"Knowledge of cloud technologies and cloud infrastructure, including networking, VPCs, VGWs, DNS.,The cloud , will need to be proficient in a number of…",Cloud Engineer
Infosys Limited,"Will also consider three years of progressive experience in the specialty in lieu of every year of education.,This position may require travel in the US.",.NET Developer
TanPro ITCorp,"1.java 1.7/1.8 plus angular 4 and above profile.,Java Full Stack Developer (Angular 4).,Looking for h1b,GC and Citizen.,4.Deep Knowledge on oops concepts.",Java Full Stack Developer
Edgenuity,"The Senior , , position is a great fit for a self-starter with strong organizational and time management skills looking to design, develop, and…",Senior Software Engineer
Amazon.com Services LLC,"You are an , experienced in shipping great software.,2+ years of non-internship professional , development experience.",Software Development Engineer - Amazon Photos
The Translational Genomics Research Institute,"The ideal candidate for this position is a ‘hands on’ , ,, responsible for technical leadership to a development team, and responsible for the…",Senior Software Engineer - Technical Lead
USGN,"Experience with the following skill sets are required: perl, Apache, SQL, HTML5, and JavaScript.,You will work with an extensive library of existing code as…",Perl Developer
Deloitte,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",RPA Developer
MUFG,Development and documentation of Operational procedures (including CI/CD scripts) as necessary to support day to day processing.,"Middleware Engineer, MQ Administrator"
Axis Data,"Senior , , to join the Axis Data Concentrator server team.,This , will be responsible for the development of a robust, super high…",Senior Software Engineer -- Networking
"U.S. Xpress Enterprises, Inc.","Knowledge of professional , engineering practices and best practices for the full , development life cycle.",Senior Full Stack (Angular) Engineer
Tabula Rasa Health Care,"EDUCATION: Bachelor's degree in Computer Science, similar technical field of study, or related practical experience.",Software Product Engineering - Senior Software Engineer
Concentric Corp.,"Demonstrate project management skills and perform according to defined , development lifecycle.,Experience in declarative tools such as quick actions,…",SalesForce Developer
Lighthouse,"Has a proven track record of enforcing the Quality Assurance processes during the , development life cycle.",Software Development Engineer in Test III
PayPal,"BSEE, CS + 5 yrs or MS + 4 yrs.,Striving to develop solutions that meet market needs with respect to functionality, performance, reliability, realistic…",Sr. Java Engineer
Grand Canyon Education,"Strong knowledge of object oriented PHP programming and generic object oriented principles.,Assists in project planning and execution throughout the entire…",PHP Back End Web Developer - Remote Opportunity
Maricopa Community Colleges,"Experience with HTML 5, Bootstrap, CSS, JSON, JavaScript, jQuery, Knockout.js, React.js, Vue.js.,Possession of a valid State of Arizona Class D driver's license…","Software Developer Senior (SQL, C#, Bootstrap, etc.)(ADA Compliance)"
NTT DATA Services,"3-5+ years of C#/ASP.net (.Netversions 3.5, 4.0, 4.5).,3-5+ years experience with JavaScript, HTML, jQuery, AJAX, CSS.,Able to write technical documentation.",Insite/.Net Developer
Silicon Valley Bank,"The successful candidate will build, scale, automate and maintain a number of infrastructure projects including but not limited to - monitoring and alerting,…",Devops Engineer
Intel,"Uses or develops machine learning algorithms, such as supervised and unsupervised learning, deep learning, reinforcement learning, Bayesian analysis and others,…",AI - Natural Language Processing and Machine Learning Engineer
Fox Corporation,"Building and distributing , libraries/SDKs.,3 years experience in , development (Python, Java, Go, .Net).,3 years experience working with AWS.",Site Reliability Engineer - Fox Technology
Merz North America,"7+ years of systems and , development.,Previous experience with Class II/B , development.,Software test and release strategies and execution of…",Sr. Systems and Software Engineer
Kinetik IT,"»Ability to learn new , functionality quickly.,»3+ years of experience in , QA testing and automated testing tools.",QA Tester/.NET Developer
Deloitte,"Strong technical skills including understanding of , development principles.,Function as an integrator between business needs and technology solutions,…",Python Developer – Consultant – USDC
Synopsys,"Leverage the best of the world’s leading electronic design automation , company with the world’s leading computer aided optical design , company…",Optical Software Developer
Leidos,"Troubleshoot , issues when they arise, and report defects.,Analyzes system requirements and concept of operations documents, acquisition plans, and…",DevOps Tester
University of Arizona,"Selects and configures contributed modules to meet project goals.,Designs and implements jQuery, AJAX and other client-side scripts to improve the user…",Web Applications Developer II (Part Time - Full Time)
Jonas ,"Develop , using Microsoft technologies as required.,Excellent written and oral communication skills required.,Net, MVC, JQuery, Javascript, HTML5.",Software Developer III
Honeywell,"We deliver services that connect, host, virtualize, store, collaborate, integrate, compute and transact business solutions that utilizes cloud first, automation…",Lead Automation Engineer - Patching
Nikola Motor Company,"Represent Nikola Engineering at change control meetings and design reviews (e.g., technical design review, digital buck review, system compatibility review, etc…",EDS Wire Harness Design Release Engineer
Honeywell,"We deliver services that connect, host, virtualize, store, collaborate, integrate, compute and transact business solutions that utilizes cloud first, automation…",Network Automation Engineer
Fox Corporation,"Strategies hybrid cloud deployments, including on-premise-to-cloud migration deployments and roadmaps.,Knowledge of major broadcast systems and the vendors that…",Senior Software Defined Video Networking (SDVN ) Engineer - Fox Technology
Axis Data,"This , will be responsible for the porting of a robust, super high performing, scalable highly available and easily manageableserver to multiple OS…",Senior Software Engineer -- Platforms
Softvision - North America,"Gathering functional requirements, developing technical specifications, and project & test planning.,Contribute to the design and architecture of the project.",Lead Full-Stack Java Engineer
Kodeva,"Experience in Validating HBase database tables or similar column-oriented storage/NoSQL databases.,Experience in validating the different source file formats to…",Hadoop Developer/Tester
Frontdoor,"Excellent skills in languages, such as C, C++, Java, Golang, .net Core.,Mentor lower level , ,, while coaching and influencing the performance…",Senior Software Development Engineer
BNP Paribas,"Proactively lead vendors and , to deliver high quality products with minimal defects.,Partner with the enterprise program office to contribute best…",Online and Mobile Engineer
MUFG,"Set an example for rest of team, coach and mentor junior , , and assist Systems Manager to build high performing , development team.","Lead Software Engineer, Ping Identity/ Identity Federation - Single Sign-On"
Tucson Electric Power,"Detail-oriented team player who consistently provides valuable suggestions and solutions in areas of , development, functional use and maintenance.","Software Engineer, Principal"
Archimedes Global,"Test system and , performance throughout the entirety of the development cycle.,As a , developer, you will work individually and as part of a team…",Software Developer
Cable One Inc.,"401(k) - 100% Company Match (match program starts after 1 year of service, up to 5% of salary).,In this role, you will be developing , automation…",Network Automation Engineer
Cognizant Technology Solutions,"In Web based applications using ReactJS with redux and python.,Of the full application life-cycle from inception through maintenance.",Java Developer
St Josephs Hospital and Medical Center,"From creating experiments and prototyping implementations to designing new architectures, Senior Research , in Machine Learning and Intelligence work on…",Senior AI/Deep Learning Software Engineer
Fox Corporation,"Minimum 5 years of experience working in AWS, with direct experience writing Terraform or Cloud Formation scripts, deploying and administering AWS services…",DevOps Engineer (MediaCloud/MediaOps) - Fox Technology
Silicon Valley Bank,"The ideal candidate should have the necessary skills and experience to provide technical guidance, estimation of efforts, understanding and deciding upon the…",Principal Software Engineer
American Express,"Position requires a Bachelor’s degree in Computer Science, Engineering, Information Systems, or a related STEM field, followed by 5 years of progressively…",Senior Engineers
Plexus Worldwide,"Excellent knowledge of the ins and outs of various languages, , platforms, and , stacks; Architectural Patterns, SOLID, and Object Oriented Design…","Manager, Software Development"
PruTech Solutions,"7+ years of experience in , development with Java / Spring / Spring Boot and 2+ years of experience with Apache / Confluent distribution of Kafka .",Java Developer with Apache Kafka
Net Orbit,"Java API Developer “with minimum Bachelor’s degree in computer science, computer information systems, information technology, or a combination of education and…",Java API Developer
Arka Technologies Inc.,"Strong server side knowledge JEE, J2EE.",Core Java- Rest API Developer
ON Semiconductor,"Strong understanding of modern , design theory.,Maturity to understand business needs and translate them into , solutions.",Senior Mobile Developer
GRANT THORNTON,Excellent oral and written communication skills and able to effectively interact with both technical and non-technical people.,COBOL PROGRAMMER
WebPT,"Manage all facets of the SDLC in collaboration with Team Leads and ScrumMasters, including project planning, architecture, , development and delivery.",Software Development Manager
Mondo,"Reach out to the open source community to encourage and help implement mission-critical , fixes React Native moves fast and often breaks things.",React Native Developer
MUFG,"Design, implement and manage continuous integration and deployment within hybrid cloud infrastructures for rapid , release while effectively managing…",Service Reliability Engineer
Association of Universities for Research in Astron...,"Hands-on DevOps experience with cloud infrastructure, CI/CD and web hosting.,At least 3 years of experience as a web developer with a focus on the backend …",Senior Backend Web Developer
Deloitte,"Expert hands-on , development experience using Salesforce Lightning Framework, Visualforce, Apex code, and JavaScript.",Salesforce Developer- GovCloud
Net Orbit,"The primary responsibility is to develop highly scalable multi-platform applications, applying sound object oriented principles and design patterns, develop…",Java Developer
IBM,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",Senior Software Developer
Silicon Valley Bank,"2-3+ years experience in development and testing of APIGEE API proxies, security, analytics, shared-flows, custom policies in JavaScript, java, Node JS, Python,…",APIGEE API Developer
AppCatalyst,"Git or other version control system.,Develop themes and modular components to support a dry, scalable UI kit.,Understand and assist in the UX design process.",Front-End Developer
Raytheon Missiles & Defense,"Previous experience developing in an object-oriented , environment.,Follows or recommends changes to department processes and procedures and reviews…","Hardware In The Loop, Sr Software Engineer II"
Axon,"Minimum of 5 years of experience with , development, validation or QA testing.,Work together with Validation technicians and engineers.",Firmware Validation Engineer
"Sandhills Global, Inc.","Strong knowledge of the full , development life cycle, with exposure to agile or iterative approaches to delivery preferred.",Software Developer - Marketing Automation
Raytheon Missiles & Defense,"The , Configuration Management Department provides innovative solutions through automation, continuous improvement and a skilled workforce providing…",Software Configuration Management Engineer
thredUP Inc,"Building scalable and flexible systems utilizing best engineering practices.,Analytical mindset geared towards incremental data driven improvements.",Senior Ruby/Rails Engineer
Rain Bird Corporation,"10+ years of experience with embedded C, C++ programming using embedded processors such as ARM core, Atmel AVR, Microchip PIC, or similar processors.",Sr. Firmware Engineer - Controls Embedded
"General Dynamics Mission Systems, Inc","Solid knowledge of the , development process.,As a Senior , ,, you’ll perform , requirements analysis, participate in research and…",Senior Software Engineer
Arizona State University,"Experience with agile development using Jira or a similar project management software.,Conduct solution reviews with project teams prior to design and…",Full Stack Developer
"Axosoft, LLC.","Core Network Administration: A great understanding of networking and network administration, including knowledge of switches, routers, firewalls and other…",Senior DevOps Engineer
Raytheon Missiles & Defense,"Experience working in a DoD embedded , environment.,Experience designing real-time embedded , on multiprocessor systems.,B.S. in a STEM degree.",Real Time Embedded Sr Software Engineer I
Grand Canyon Education,"Follow all departmental processes and procedures regarding project planning and delivery.,Develop a personal professional roadmap that outlines a plan for…",Academic Web Developer
Sky Republic,"Apply , development best practices such as unit testing, code review, test automation and continuous delivery to produce high quality software.",Front-End Development Engineers
PK,"Experience in debugging code in all environments (Dev, QA and Prod) to trouble shoot issues, review logs (Server, application & database), analyze REST/SOAP web…",Site Reliability Engineer
Wells Fargo,"Business alignment includes Enterprise Risk, Enterprise Finance, Enterprise Data Management and Insights, Human Resources, Public Affairs, Customer Excellence,…",Full Stack AngularJS Developer - Apps Systems Engineer 5
Progress Residential,"Evaluate and integrate third party analytics and data.,This would be a good opportunity for either a strong developer looking to get into data science, or a…",Java Developer
Deloitte,"5 years’ experience as a , developer focused on security architecture.,Full stack security , developer.,Experience mentoring and coaching others.",Full Stack Security Software Developer
Cognizant Technology Solutions,"Ability to solve very normal array related algorithmic/ DS problem.,Define and record technical specifications for , development projects and validate…",Sr Java 8 Developer
TanPro ITCorp,,Mean Stack Developer With Angular 7
"Insight Enterprises, Inc.","Aggressively grow your skillset and expertise to meet the emerging needs of our clients.,Net core to build out Azure cloud solutions.",Software Development Architect
MUFG,"Experience programming in java or python.,While transitioning the bank from a on-premises infrastructure -oriented to a cloud-based platform by redesigning or…",Infrastructure Engineer
Virtuous ,"Work with small team to test, document, and deploy software.,3+ years of , experience with strong knowledge of C# and the .",.Net Developer
Wells Fargo,"Introduce and expand AIOps capabilities, build machine learning (ML) models and algorithms, and robotic process automation (RPA).",Junior Site Reliability Engineer (Apps Systems Engineer 4)
Driggs Title Agency Inc.,"Days and hours of work are Monday through Friday, 8:00 a.m. to 5 p.m. This position may require long hours and weekend work.,This is a full-time position.",Wired-in Database Developer
Concentric Corp.,"NET Developer for our client in the Scottsdale area.,Hands-on experience in performing both automated and manual testing.",.NET Developer
Slalom Consulting,"10+ years of experience as a , , or developer, including web applications at the enterprise level.,A deep understanding of scalability concepts.",eCommerce/Magento Architect
NortonLifeLock,"Clear understanding of , development lifecycle methodologies.,Support cloud infrastructure and automate repetitive operational functions.",Site Reliability Engineer
Leidos,"Designs, implements, and integrates , applications or performs , engineering tasks.,Provides specific input to the , components of system…",DevOps Developer
Raytheon Missiles & Defense,"Reviews , products and processes for compliance to contract requirements, , directives and reviews work practices for adequacy.",Sr Software Quality Eng II
Hivemetric,"Knowledge of Git and version control best practices.,Build and implement UI and display components to meet mockup specification.",UI/UX Developer
Republic Services,"Manages competing priorities, workloads and activities to achieve multiple project objectives and ensures information systems are defect free and meet end-user…",Mgr Software Dev-Sales & Mktg
Base Commerce,"Working with our Relationship Managers to understand their requirements, and translating that into an accomplishable project.",Full Stack .NET Developer
Northern Trust Corp.,"A College or University degree and/or 5-10 years relevant proven work experience is preferred.,Excellent oral and written communication skills are required.","Operations Manager, Middleware"
Merz North America Inc,"5 year(s): Leadership/management experience of teams of 5 or more.,Manufacturing line control using test software.,Software development and test: 10+ years.",Software Development Manager
Bank of the West,"Proactively lead vendors and , to deliver high quality products with minimal defects.,Partner with the enterprise program office to contribute best…",Online and Mobile Engineer
thredUP Inc,"You will be working with a highly interdisciplinary team of , ,, ML ,, data scientists, analysts, and marketers.",Staff Machine Learning Engineer - Core Algorithms
Deloitte,We develop service-oriented architecture (SOA) and other integration solutions to enable information sharing and management between business partners and…,Core Business Operations – Solution Specialist – Java Developer
Merz North America,"5 years: Leadership/management experience of teams of 5 or more.,Manufacturing line control using test software.,Software development and test: 10+ years.",Software Development Manager
Renesas Electronics America Inc.,"Ability to communicate clearly and effectively with system architects, application/hardware , and firmware engineers.",Sensor Signal Processing Algorithm Intern
Edgenuity,"7+ years of , engineering experience in Java with experience delivering cloud native applications.,Good handle on , architecture, design patterns,…",Principal Engineer
By Light Professional IT Services LLC,"Collaborates with hardware , on machine characteristics that affect , systems and works with them to resolve incompatibilities working closely…",Web Developer
Leslie's Poolmart,"5 years of , development in Scrum/Agile environment.,5 years of API development and integration, in an Ecommerce environment.",Engineer
Raytheon Missiles & Defense,"Proficiency utilizing , debugging tools to troubleshoot , implementation and ensure integrity of the , products.","Hardware In The Loop Electro-Optical, ReEmpower, Sr Software Engineer I"
Desert Financial Credit Union,"5 years of experience in web programming, specifically planning and delivering , platforms used enterprise-wide.,High School Diploma or G.E.D.",Web Applications Developer III
"General Dynamics Mission Systems, Inc","Very strong knowledge of , tools supporting Integrated Development Environments (IDE), version control, defect reporting and scripting.",Senior Advanced Software Engineer
Universal Electronics,"10+ year extensive experience with all phases of embedded firmware development life cycle.,Excellent oral and written communication skills are essential for…",Principal Firmware Engineer
Ethos Solutions,Ethos is a growing professional services technology consulting firm specializing in web and mobile application development and cloud-based implementations is…,IT Project Manager (Custom Software Development)
Kinetik IT,"»Min of 3 years of commercial experience om full-life cycle , development.,Looking for a digital superhero with commercial experience in full life cycle…",.NET Developer
Net Orbit,Bachelors degree in Computer Science or related field plus 3-5 year's experience or Master’s Degree plus 0- 3 year's experience of C# & ASP.,Dot net developer
Northrop Grumman,"Seeking a highly creative and energetic , , to support the design and development of a command and control , suite for testing real-time…",Sr Principal Engineer Software - TS/SCI
French Agency,"The Team consists of 5 and growing to 8, Seniors will train Junior, all hands on deck type of crew and the less meetings the better!",.Net Developer in North West Phoenix
Northrop Grumman,"Perform as a Linux Systems Administrator for a classified government contract.,Perform software/hardware installations, configuration, troubleshooting/recovery,…",Engineer/ Principal Engineer Software (TS/SCI)
Raytheon Missiles & Defense,"Proficiency utilizing , debugging tools to troubleshoot , implementation and ensure integrity of the , products.",Sr Principal Software Eng
Concentric Corp.,"A minimum of 5+ years of total experience with the , development cycle: product specification, design, implementation, QA, release, and maintenance.",Mobile Developer
Emailage,"Good knowledge of creating and maintaining high available and scalable cloud infrastructure.,Open to learning new technologies and new problem domains.",DevOps Engineer
Iridium,"Minimum 5 years of , development experience with progressive responsibilities and strong programming skills in Java required.",Java Developer III
Veeva Systems,"3 – 5 years experience designing and developing , related courses.,Control the manner and method of your work to perform client services (e.g. control…",Product Training Developer - Contractor (Remote)
Iridium,"Minimum 5 years of , development experience with progressive responsibilities and strong programming skills in PHP required.",PHP Developer III
West Pharmaceutical Services,"Must have a very good knowledge of injection molding (standard process and Multi component) processing, ancillary equipment, robots and automation systems.",Automation & Controls Engineer
MUFG,"Developing automation with python, bash, java, powershell or similar languages.,Deliver high quality products as part of a cross-functional team including…","QA Test Engineer, AVP"
Archimedes Global,A 2-year technical degree or training program and 5 years of professional work experience (or 2 additional years of applicable work experience = 7 years’ total…,Web Developer
PetSmart,"The Customer Experience team focuses across 5 departments including, Marketing, Creative, Digital, Communications, and our Loyalty & CRM team.",Mobile Application Analyst
TanPro ITCorp,"The candidate could be a very strong Java developer with Angular4 experience.,Must have 5 years’ Experience.,Java 1.7 /1.8 with Angular.",Java Developer With Angular 4
WebPT,"Scripting experience (bash, python or php preferred).,Act as a technical point of contact for product deliverables targeting AWS and our data center…",Senior DevOps Engineer
Arka Technologies Inc.,"Skill Set: Java, Javascript, Angular, database, Open Source, Grafana, Kabana, database, SQL, No-SQL, API design and development, microservices.",Full Stack Java Developer
Fox Corporation,"ServiceNow (ticket queue management, change control, JSD integration).,Help run a governance program for Atlassian Suite (JIRA, JIRA Service Desk, Confluence,…",Atlassian Administrator - Fox Technology
Fox Corporation,"5 years of experience in , development (Python, Java, Go, .Net).,Building and distributing , libraries/SDKs.,Preferred Skills and or Experience:",Senior Cloud Engineer - Fox Technology
Leidos,"Strong written and verbal communication skills are required to collaborate with testers, systems ,, architects, , developers, management as well…",Release Manager
Universal Technical Institute,"Expertise with industry standard concepts, practices, procedures, and , development life-cycle methodologies.,May require occasional overnight travel.",Business Intelligence Manager
Systel,"Experience in at least 2 full life-cycle project using Oracle Fusion/SOA 11g suite of products (e.g. Oracle BPEL, Mediator, OSB) to integrate the external…",SOA 11G/OSB Technical Developer
JLL,"Operates, inspects, and maintains all HVAC, refrigeration, mechanical, electrical, plumbing, and production equipment and systems in assigned facilities to…",Mobile Engineer HVAC/ R
Grand Canyon Education,"Remains competent and current through self directed professional reading and researching available tools and products, developing professional contacts with…",Database Developer
Wells Fargo,"Net or Java based solutions with integrated , packages on enterprise class platforms.,Document/Data Capture experience with Kofax Capture, IBM Datacap,…",Senior .Net Engineer/ Applications Systems Engineer 6
Deloitte,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",RPA Developer – USDC – Solution Specialist
Blue Cross Blue Shield of Arizona,Establish and meet short and long term department goals in accordance with overall company objectives and divisional strategic planning.,Manager - Database Administration and SharePoint Administration (Agile/ DevOps)
Wells Fargo,"Knowledge and understanding of cloud computing.,Experience with cloud development and migration.,This is a hands-on lead developer role.",Software Design Expert
Veridition,"Java development: 5 years (Preferred).,Minimum 5 years’ experience as a Developer.,Minimum 5 years of experience with Java, J2EE, EJB, JAXP, XSLT, JSP,JSF…",Java / J2EE Developer
BNP Paribas,"Develop , policies, standards and procedures.,Conduct complex quality control tests and analyses to ensure that , meets or exceeds specified…",Senior Python/Java Engineer
Frontend Arts,"Work in a hybrid agile environment through the multi-phase project.,Requirement Analysis, refinement and breakdown of requirements into smaller easily…",Senior Developer-Java/J2EE/Spring/Hibernate/JBoss
ICR,"Experience with distributed , version control systems and continuous integration, such as git.,Experience with hardware and , reverse engineering.",FPGA DSP Engineer
"Sandhills Global, Inc.","Strong knowledge of the full , development life cycle, with exposure to agile or iterative approaches to delivery preferred.",iOS Developer
French Agency,"Providing clarity around the development roadmap, outlining tasks, goals, desired results, etc.,Bachelor’s Degree with an IT/Computer Science related…",Lead Developer – Management
Microchip Technology,"3-5 years of experience required with cloud architecture, such as AWS, Azure and Google.,Strong experience in configuring, maintaining, and troubleshooting…",Pr. Engineer- DevOps
Iridium,"Minimum 5 years of , development experience with progressive responsibilities and strong programming skills in Informatica and Oracle PL/SQL required.",ETL Developer III
"PulteGroup, Inc","Minimum 5 years' experience in a , developer role.,Experience with Visual Studio and version control / release management tools such as TFS/VSTS/Azure…",Software Developer II - Dynamics 365 Developer
Raytheon Missiles & Defense,"Experience working in a DoD embedded , environment.,Interacts with senior , , and support staff on a situational basis.",Real Time Embedded Software Engineer II
Impetus Technologies,"Passionate about writing Quality Code/Best Practices.,Experience with contemporary tools and frameworks commonly utilized by agile developers such as- Java web…",Senior Java Developer
MUFG,"While transitioning the bank from a traditional, batch-oriented ecosystem to a real time deposit services platform by redesigning or replacing monolithic legacy…",Senior DevSecOps Engineer
Deloitte,"You will perform day-to-day support and maintenance, work with the functional team to develop solutions in ServiceNow and coordinate support and development…",ServiceNow Developer- HR Sr Consultant
Wells Fargo,"Leverage experience as a , and systems , to ensure the applications onboarded to SRE are available, have full stack observability, are integrated…",Site Reliability Engineer (Apps Systems Engineer 5 )
